keyword,valence,score,reviewer
adamant,stigmatizing,2,SE
adamant,stigmatizing,2,NE
adamant,stigmatizing,2,RC
adamant,stigmatizing,3,IB
aggressive,stigmatizing,1,SE
aggressive,stigmatizing,2,NE
aggressive,stigmatizing,1,RC
aggressive,stigmatizing,1,IB
agitated,stigmatizing,2,SE
agitated,stigmatizing,2,NE
agitated,stigmatizing,1,RC
agitated,stigmatizing,2,IB
angry,stigmatizing,1,SE
angry,stigmatizing,1,NE
angry,stigmatizing,1,RC
angry,stigmatizing,2,IB
anxious,stigmatizing,3,SE
anxious,stigmatizing,2,NE
anxious,stigmatizing,1,RC
anxious,stigmatizing,3,IB
apparently,stigmatizing,2,SE
apparently,stigmatizing,3,NE
apparently,stigmatizing,2,RC
apparently,stigmatizing,2,IB
appears_to_be,stigmatizing,2,SE
appears_to_be,stigmatizing,3,NE
appears_to_be,stigmatizing,2,RC
appears_to_be,stigmatizing,3,IB
argumentative,stigmatizing,1,SE
argumentative,stigmatizing,1,NE
argumentative,stigmatizing,1,RC
argumentative,stigmatizing,1,IB
believes,stigmatizing,2,SE
believes,stigmatizing,3,NE
believes,stigmatizing,2,RC
believes,stigmatizing,3,IB
challenging,stigmatizing,1,SE
challenging,stigmatizing,2,NE
challenging,stigmatizing,1,RC
challenging,stigmatizing,2,IB
claim,stigmatizing,2,SE
claim,stigmatizing,2,NE
claim,stigmatizing,2,RC
claim,stigmatizing,2,IB
combative,stigmatizing,1,SE
combative,stigmatizing,2,NE
combative,stigmatizing,1,RC
combative,stigmatizing,1,IB
complain,stigmatizing,3,SE
complain,stigmatizing,3,NE
complain,stigmatizing,2,RC
complain,stigmatizing,2,IB
confront,stigmatizing,1,SE
confront,stigmatizing,2,NE
confront,stigmatizing,1,RC
confront,stigmatizing,2,IB
defensive,stigmatizing,1,SE
defensive,stigmatizing,1,NE
defensive,stigmatizing,1,RC
defensive,stigmatizing,2,IB
deny,stigmatizing,3,SE
deny,stigmatizing,3,NE
deny,stigmatizing,2,RC
deny,stigmatizing,3,IB
difficult,stigmatizing,1,SE
difficult,stigmatizing,1,NE
difficult,stigmatizing,1,RC
difficult,stigmatizing,2,IB
dirty,stigmatizing,1,SE
dirty,stigmatizing,2,NE
dirty,stigmatizing,1,RC
dirty,stigmatizing,2,IB
endorse,stigmatizing,3,SE
endorse,stigmatizing,4,NE
endorse,stigmatizing,3,RC
endorse,stigmatizing,3,IB
exaggerate,stigmatizing,1,SE
exaggerate,stigmatizing,1,NE
exaggerate,stigmatizing,1,RC
exaggerate,stigmatizing,1,IB
fail,stigmatizing,1,SE
fail,stigmatizing,1,NE
fail,stigmatizing,1,RC
fail,stigmatizing,1,IB
hysterical,stigmatizing,1,SE
hysterical,stigmatizing,1,NE
hysterical,stigmatizing,2,RC
hysterical,stigmatizing,1,IB
insist,stigmatizing,1,SE
insist,stigmatizing,1,NE
insist,stigmatizing,2,RC
insist,stigmatizing,2,IB
irritable,stigmatizing,1,SE
irritable,stigmatizing,2,NE
irritable,stigmatizing,1,RC
irritable,stigmatizing,2,IB
lazy,stigmatizing,1,SE
lazy,stigmatizing,1,NE
lazy,stigmatizing,1,RC
lazy,stigmatizing,1,IB
adherence,stigmatizing,2,SE
adherence,stigmatizing,4,NE
adherence,stigmatizing,2,RC
adherence,stigmatizing,2,IB
